id,text
1,Acme Corporation
2,ACME Corp.
3,Acme Corp
4,Acme Incorporated
5,Apple Inc.
6,Apple Computer Inc
7,Apple Computers
8,Microsoft Corporation
9,Microsoft Corp.
10,Microsoft
11,Google LLC
12,Google Inc.
13,Alphabet Inc.
14,Amazon.com Inc.
15,Amazon
16,Amazon.com
17,Meta Platforms Inc.
18,Facebook Inc.
19,Meta
20,IBM Corporation
21,International Business Machines
22,IBM Corp.
23,Intel Corporation
24,Intel Corp.
25,McDonald's Corporation
26,McDonalds
27,Mcdonald's
28,Walt Disney Company
29,Disney
30,Tesla Inc.
31,Tesla Motors
32,Netflix Inc.
33,Netflix
34,Walmart Inc.
35,Wal-Mart Stores Inc.
36,Coca-Cola Company
37,Coca Cola
38,Cisco Systems Inc.
39,Cisco Systems
40,Cisco
41,Johnson & Johnson
42,Johnson and Johnson
43,J&J
44,JP Morgan Chase & Co.
45,JPMorgan Chase
46,JP Morgan
47,Bank of America Corporation
48,Bank of America
49,BoA
50,General Motors Company
51,General Motors
52,GM 
